,ANGLIERS,ANGLIERS,BARK LAKE,BARK LAKE,BASKATONG,BASKATONG,BRYSON,BRYSON,CABONGA,CABONGA,CARILLON,CARILLON,CEDAR RAPID,CEDAR RAPID,CHAT FALLS,CHAT FALLS,CHELSEA,CHELSEA,CHENAUX,CHENAUX,CHUTE BELL,CHUTE BELL,CHUTE DES CHATS,CHUTE DES CHATS,DES JOACHIMS,DES JOACHIMS,DOZOIS,DOZOIS,FARMERS,FARMERS,HIGH FALLS,HIGH FALLS,HULL 2,HULL 2,KAMANISKEG,KAMANISKEG,KIAMIKA,KIAMIKA,KIPAWA,KIPAWA,LAC DES QUINZE,LAC DES QUINZE,LAC VICTORIA,LAC VICTORIA,LADY EVELYN,LADY EVELYN,LOWER NOTCH,LOWER NOTCH,MISTINIKON,MISTINIKON,MITCHINAMECUS,MITCHINAMECUS,MOUNTAIN CHUTE,MOUNTAIN CHUTE,OTTO HOLDEN,OTTO HOLDEN,PAUGAN,PAUGAN,PREMIERE CHUTE,PREMIERE CHUTE,RABBIT LAKE,RABBIT LAKE,RAPIDE 15,RAPIDE 15,RAPIDE 2,RAPIDE 2,RAPIDE 7,RAPIDE 7,RAPIDE DES ILES,RAPIDE DES ILES,TEMISCAMINGUE,TEMISCAMINGUE
,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume,Elevation,Volume
0,260.5,0.0,304.5,0.0,207.60000610351562,0.0,103.62999725341797,0.0,356.20880126953125,11198320.0,39.619998931884766,0.0,192.86000061035156,0.0,72.23999786376953,0.0,96.93000030517578,0.0,84.7300033569336,0.0,139.25999450683594,2216.205,72.23999786376953,0.0,149.39999389648438,3379593.0,336.79998779296875,0.0,65.2300033569336,0.0,189.60000610351562,216.04187,52.119998931884766,0.0,282.27349853515625,1124202.0,260.0,0.0,267.6099853515625,0.0,259.94000244140625,0.0,323.0799865722656,2572.6785,284.3999938964844,0.0,245.05999755859375,0.0,315.0,0.0,370.3299865722656,0.0,243.8614044189453,376306.0,174.0,0.0,137.77000427246094,0.0,199.9499969482422,0.0,286.0633850097656,0.0,255.42999267578125,31181.73,287.1199951171875,0.0,307.239990234375,0.0,227.3800048828125,7.519531,175.25999450683594,2690.863
1,260.5899963378906,28735822.0,304.6095886230469,3364144.0,207.7584991455078,12278110.0,103.6500015258789,7718.16,356.2575988769531,22495730.0,40.540000915527344,0.2,192.95339965820312,4731526.0,72.33000183105469,6432843.0,96.93609619140625,51467.36,84.77999877929688,861778.0,139.3699951171875,12341.22,72.33000183105469,6432843.0,149.44520568847656,6551162.0,336.8948059082031,2705641.0,65.27999877929688,19838.67,189.60800170898438,226629.66,52.130001068115234,2008036.0,282.3070068359375,2512301.0,260.1065979003906,1669256.0,267.6329040527344,6335740.0,259.98260498046875,11530580.0,323.1600036621094,7929274.0,284.46380615234375,2412740.0,245.11180114746094,471803.0,315.04730224609375,381845.0,370.4610900878906,3244862.0,243.9228057861328,1849221.0,174.0522003173828,1512542.0,137.80780029296875,757416.0,199.9698028564453,49294.29,286.1268005371094,109976.0,255.44000244140625,62369.67,287.1383056640625,577721.0,307.264404296875,3367651.0,227.40130615234375,32809.36,175.31399536132812,13184000.0
2,260.69000244140625,58376940.0,304.7192077636719,6768065.0,207.91700744628906,24733940.0,103.68000030517578,15437.18,356.306396484375,33896900.0,40.54999923706055,317199.9,193.0467987060547,9508080.0,72.41000366210938,12865843.0,96.94219970703125,103188.3,84.83999633789062,1726800.6,139.49000549316406,22466.234,72.41000366210938,12865843.0,149.4904022216797,9730057.0,336.9895935058594,6131250.0,65.33999633789062,43004.9,189.61500549316406,453340.88,52.13999938964844,4016277.0,282.34051513671875,3912027.0,260.21319580078125,3410487.0,267.6557922363281,12633100.0,260.02520751953125,23226200.0,323.2300109863281,15939191.0,284.527587890625,4804041.0,245.16360473632812,943704.0,315.0946044921875,801561.0,370.5921936035156,6554180.0,243.9842071533203,3313823.0,174.10440063476562,3034887.0,137.84559631347656,1523372.0,199.98959350585938,98596.19,286.190185546875,235993.0,255.4499969482422,93557.6,287.1565856933594,1147793.0,307.2887878417969,6760538.0,227.422607421875,65611.2,175.3679962158203,26631130.0
3,260.7799987792969,88477400.0,304.82879638671875,10183570.0,208.07550048828125,37380040.0,103.69999694824219,23156.2,356.3551940917969,45401850.0,40.56999969482422,728000.5,193.14019775390625,14333200.0,72.5,19298844.0,96.94830322265625,154926.5,84.88999938964844,2595067.8,139.60499572753906,32591.25,72.5,19298844.0,149.5355987548828,12916270.0,337.08441162109375,15457550.0,65.38999938964844,66310.51,189.6230010986328,680349.7,52.150001525878906,6024519.0,282.3739929199219,5323380.0,260.3197937011719,5219522.0,267.6787109375,18930470.0,260.06781005859375,35080610.0,323.30999755859375,24025332.0,284.5914001464844,7232780.0,245.21539306640625,1417695.0,315.14190673828125,1224965.0,370.7232971191406,9926924.0,244.04559326171875,4770572.0,174.15660095214844,4559072.0,137.88340759277344,2293210.0,200.0093994140625,147898.1,286.25360107421875,406744.0,255.4600067138672,124745.5,287.1748962402344,1718667.0,307.3132019042969,10176260.0,227.4438934326172,98413.04,175.4219970703125,40327550.0
4,260.8699951171875,118996650.0,304.9383850097656,13611050.0,208.23399353027344,50224010.0,103.7300033569336,30875.22,356.40399169921875,57010560.0,40.58000183105469,1138801.0,193.2335968017578,19206890.0,72.58999633789062,25731844.0,96.95439910888672,206682.1,84.94000244140625,3466579.8,139.72000122070312,42716.266,72.58999633789062,25731844.0,149.58079528808594,16109790.0,337.17919921875,25006430.0,65.44999694824219,89756.86,189.6300048828125,907656.1,52.15999984741211,8032761.0,282.4075012207031,6746359.0,260.4263916015625,7095691.0,267.70159912109375,25227830.0,260.11041259765625,47089860.0,323.3900146484375,32180704.0,284.65521240234375,9699014.0,245.26719665527344,1893790.0,315.189208984375,1652050.0,370.8544006347656,13363130.0,244.10699462890625,6219927.0,174.20880126953125,6085114.0,137.92120361328125,3066927.0,200.02920532226562,197200.0,286.3169860839844,621645.0,255.47000122070312,155933.5,287.1932067871094,2290344.0,307.33758544921875,13614210.0,227.46519470214844,131214.9,175.4759979248047,54257270.0
5,260.9599914550781,149894110.0,305.0480041503906,17050850.0,208.3925018310547,63273430.0,103.75,38594.23,356.4527893066406,68723050.0,40.599998474121094,1549602.0,193.32699584960938,24129150.0,72.68000030517578,32164844.0,96.96050262451172,258455.1,85.0,4341336.0,139.83999633789062,52841.28,72.68000030517578,32164844.0,149.62600708007812,19310610.0,337.27398681640625,34777890.0,65.5,113345.3,189.63800048828125,1135260.1,52.16999816894531,10041000.0,282.4410095214844,8180965.0,260.5329895019531,9038322.0,267.7244873046875,31525190.0,260.15301513671875,59249970.0,323.4599914550781,40398320.0,284.718994140625,12202800.0,245.31900024414062,2372002.0,315.23651123046875,2082807.0,370.9855041503906,16862840.0,244.16839599609375,7662349.0,174.26100158691406,7613029.0,137.95899963378906,3844525.0,200.0489959716797,246501.9,286.3804016113281,880107.0,255.47999572753906,187121.4,287.21148681640625,2862822.0,307.36199951171875,17073690.0,227.4864959716797,164016.7,175.52999877929688,68404790.0
6,261.05999755859375,181129230.0,305.1575927734375,20503360.0,208.55099487304688,76535870.0,103.77999877929688,46313.25,356.5015869140625,80539290.0,40.619998931884766,1960402.0,193.42039489746094,29099980.0,72.76000213623047,38597844.0,96.96659851074219,310245.4,85.05000305175781,5219337.0,139.9499969482422,62966.297,72.76000213623047,38597844.0,149.67120361328125,22518740.0,337.3688049316406,44771920.0,65.55999755859375,137076.9,189.64500427246094,1363161.8,52.18000030517578,12049240.0,282.4744873046875,9627199.0,260.63958740234375,11046750.0,267.7474060058594,37822560.0,260.1955871582031,71556980.0,323.5400085449219,48671184.0,284.7828063964844,14744190.0,245.3708038330078,2852347.0,315.2838134765625,2517226.0,371.1166076660156,20426090.0,244.22979736328125,9098298.0,174.31320190429688,9142835.0,137.99679565429688,4626003.0,200.0688018798828,295803.8,286.44378662109375,1181547.0,255.49000549316406,249497.3,287.22979736328125,3436102.0,307.38641357421875,20553980.0,227.50779724121094,196818.6,175.58399963378906,82755150.0
7,261.1499938964844,212661460.0,305.2672119140625,23968960.0,208.70950317382812,90018930.0,103.80000305175781,54032.27,356.5504150390625,92459300.0,40.630001068115234,2371203.0,193.5137939453125,34119370.0,72.8499984741211,45030844.0,96.97270202636719,362053.2,85.0999984741211,6100582.5,140.07000732421875,73091.31,72.8499984741211,45030844.0,149.71640014648438,25734150.0,337.4635925292969,54988540.0,65.61000061035156,160953.0,189.6529998779297,1591361.0,52.189998626708984,14057490.0,282.50799560546875,11085060.0,260.7461853027344,13120290.0,267.7702941894531,44119920.0,260.2381896972656,84006940.0,323.6199951171875,56992308.0,284.8465881347656,17323250.0,245.422607421875,3334838.0,315.3310852050781,2955302.0,371.2477111816406,24052910.0,244.29119873046875,10528230.0,174.3654022216797,10674550.0,138.03460693359375,5411361.0,200.08859252929688,345105.6,286.5072021484375,1525376.0,255.5,280685.2,287.24810791015625,4010185.0,307.4107971191406,24054280.0,227.5290985107422,229620.4,175.63800048828125,97293900.0
8,261.239990234375,244450200.0,305.3768005371094,27448000.0,208.8679962158203,103730200.0,103.83000183105469,61751.28,356.5992126464844,104483100.0,40.650001525878906,2782003.0,193.60719299316406,39187330.0,72.94000244140625,51463844.0,96.97879791259766,413878.5,85.16000366210938,6985073.0,140.19000244140625,83216.33,72.94000244140625,51463844.0,149.7615966796875,28956840.0,337.55841064453125,65427730.0,65.66999816894531,184974.6,189.66000366210938,1819857.9,52.20000076293945,16065730.0,282.54150390625,12554550.0,260.8528137207031,15258290.0,267.793212890625,50417280.0,260.2807922363281,96595890.0,323.69000244140625,65354700.0,284.910400390625,19940040.0,245.47439575195312,3819489.0,315.3783874511719,3397023.0,371.3788146972656,27743340.0,244.35260009765625,11952620.0,174.4176025390625,12208180.0,138.07240295410156,6200600.0,200.1083984375,394407.5,286.5705871582031,1911010.0,255.50999450683594,311873.2,287.2663879394531,4585069.0,307.4352111816406,27573740.0,227.55039978027344,262422.2,175.69200134277344,112007100.0
